"caste_id","caste_name","religion_id","cat_id"
1,Adi Andhra,2,2
2,Adi Dravida,2,2
3,Adi Karnataka,2,2
4,Ajila,2,2
5,Arunthathiyar,2,2
6,Ayyanavar,2,2
7,Baira,2,2
8,Bakuda,2,2
9,Bathada,2,2
10,Bharatar,2,2
11,Chakkilian,2,2
12,Chamar,2,2
13,Chandala,2,2
14,Chemmar,2,2
15,Cherama,2,2
16,Cheraman,2,2
17,Cheramar,2,2
18,Cheruman,2,2
19,Domban,2,2
20,Gosangi,2,2
21,Hasla,2,2
22,Holeya,2,2
23,InterCaste,4,2
24,Kadaiyan,2,2
25,Kakkalan,2,2
26,Kakkan,2,2
27,Kalladi,2,2
28,Kanakkan,2,2
29,Kannakkan,2,2
30,Kavara,2,2
31,Koodan,2,2
32,Koosa,2,2
33,Kudumban,2,2
34,Kurava,2,2
35,Kuravan,2,2
36,Kuravar,2,2
37,Maila,2,2
38,Malayan,2,2
39,Mannan,2,2
40,Matha,2,2
41,Matha Pulayan,2,2
42,Moger,2,2
43,Muchi,2,2
44,Mundala,2,2
45,Nalakeyava,2,2
46,Nalkadaya,2,2
47,Nayadi,2,2
48,Nerian,2,2
49,Padanna,2,2
50,Padannan,2,2
51,Pallan,2,2
52,Pambada,2,2
53,Panan,2,2
54,Paraiya,2,2
55,Paraiyan,2,2
56,Paravan,2,2
57,Paraya,2,2
58,Parayan,2,2
59,Parayar,2,2
60,Pathiyan,2,2
61,Perumannan,2,2
62,Pulaya,2,2
63,Pulayan,2,2
64,Pulayar,2,2
65,Pulluvan,2,2
66,Puthirai Vannan,2,2
67,Raneyar,2,2
68,Samagra,2,2
69,Samban,2,2
70,Sambava,2,2
71,Sambavan,2,2
72,Sambavar,2,2
73,Semman,2,2
74,Sidhana,2,2
75,Sidhanar,2,2
76,Thachar(other than Carpenter),2,2
77,Thandan,2,2
78,Thotti,2,2
79,Vallon,2,2
80,Valluvan,2,2
81,Vannan,2,2
82,Vedar,2,2
83,Velan,2,2
84,Vettuvan,2,2
85,Vettuvan,2,2
86,Wayanad Pulayan,2,2
87,Agas(OBC),2,4
88,Andra Nair,2,5
89,Anduru Nair,2,5
90,Araya,2,5
91,Arayavathi,2,5
92,Attingal Chetties(OBC),2,4
93,Ayar(OBC),2,4
94,Ayiravar(OBC),2,4
95,Bovi-Megeyar,2,5
96,Chakkala Nair(OBC),2,4
97,Chakkala(OBC),2,4
98,Chakkamar,2,5
99,Chaliyar(OBC),2,4
100,Chavalakkaran(OBC),2,4
101,Chemman,2,5
102,Chetties(OBC),2,4
103,Converted SC,2,5
104,Devanga(OBC),2,4
105,Dheevara,2,5
106,Dheevaran,2,5
107,Elur Chetties(OBC),2,4
108,Ezhavathi(OBC),2,4
109,Ezhuthachan(OBC),2,4
110,Ganaka(OBC),2,4
111,Jangam(OBC),2,4
112,Kaikolan(OBC),2,4
113,Kalari Panicker(OBC),2,4
114,Kalarikurup(OBC),2,4
115,Kallan Moopan(OBC),2,4
116,"Kallan Mooppar(OBC)""",2,4
117,Kani(OBC),2,4
118,Kanisan(OBC),2,4
119,Kanisu(OBC),2,4
120,Kaniya Panicker(OBC),2,4
121,Kaniyan(OBC),2,4
122,Kannadiyan(OBC),2,4
123,Kavuthiyan(OBC),2,4
124,Kerala Muthali(OBC),2,4
125,Kolayar(OBC),2,4
126,Kottar Chetties(OBC),2,4
127,Kudumbi,2,5
128,Kulala,2,5
129,Kullalan,2,5
130,Kumbaran,2,5
131,Kusavar,2,5
132,Madiga,2,5
133,Madivala(OBC),2,4
134,Maniyani(OBC),2,4
135,Marathi,2,5
136,Matapathi(OBC),2,4
137,Mayar(OBC),2,4
138,Mogaveerar,2,5
139,Mokaya,2,5
140,Mooppar(OBC),2,4
141,Mukkuvan,2,5
142,Nagarathar(OBC),2,4
143,Naicken(OBC),2,4
144,Naicken(OBC),2,4
145,Odan,2,5
146,Pandaram(OBC),2,4
147,Pandithar(OBC),2,4
148,Paniyakkal,2,5
149,Parakka Chetties(OBC),2,4
150,Pattariya(OBC),2,4
151,Perumkollan(OBC),2,4
152,Peruvannan,2,5
153,Reddiar(OBC),2,4
154,Sadhu Chetti(OBC),2,4
155,Saliya(OBC),2,4
156,Thachan(other than Carpenter),2,5
157,Thelungu Chetti(OBC),2,4
158,Tholkollan(OBC),2,4
159,Thottain(OBC),2,4
160,Vaduka(OBC),2,4
161,Vaduvan(OBC),2,4
162,Vairagi(OBC),2,4
163,Valan,2,5
164,Valanchiyar,2,5
165,Vanibha Chetti(OBC),2,4
166,Vanika Vaisya(OBC),2,4
167,vanika(OBC),2,4
168,vaniya(OBC),2,4
169,Vaniyan(OBC),2,4
170,Vannathan(OBC),2,4
171,Varnnavan,2,5
172,Vathis(OBC),2,4
173,Veerasaiva(OBC),2,4
174,Velaan,2,5
175,Velaar,2,5
176,Veluthedan(OBC),2,4
177,Veluthedath Nair(OBC),2,4
178,Vilakithala Nair(OBC),2,4
179,Vilkurup(OBC),2,4
180,Agamudaiyans,2,4
181,Alwar,2,4
182,Ambalakkaran,2,4
183,Ampattan,2,4
184,Anglo Indian,1,4
185,Annadan,2,4
186,Archukatlandu,2,4
187,Aremahrati,2,4
188,Asari,2,4
189,Attagara,2,4
190,Balolika,2,4
191,Bandari,2,4
192,Barber,2,4
193,Bestha,2,4
194,Billava,2,4
195,Bissoy,2,4
196,Blacksmith,2,4
197,Bondil,2,4
198,Boya,2,4
199,Boyan,2,4
200,Chakravar,2,4
201,Chaptegara,2,4
202,Chatadi,2,4
203,Chattada Srivaishnava,2,4
204,Dasari,2,4
205,Devadiga,2,4
206,Devalkar,2,4
207,Dhakkada,2,4
208,Dommara,2,4
209,Dudekula,2,4
210,Eruman,2,4
211,Esanattu Kallar,2,4
212,Ezhava,2,4
213,Ezhuvan,2,4
214,Galada Konkam,2,4
215,Gammala,2,4
216,Gandla,2,4
217,Gangavars,2,4
218,Gatti,2,4
219,Godaba,2,4
220,Goldsmith,2,4
221,Golla,2,4
222,Gonde,2,4
223,Gowda,2,4
224,GSB,2,4
225,Gudigara,2,4
226,Hegde,2,4
227,Idiga,2,4
228,Illuvan,2,4
229,Isai Vellalar,2,4
230,Jakkulas,2,4
231,Jandara,2,4
232,Jetty,2,4
233,Jews,2,4
234,Jogi,2,4
235,Kabbera,2,4
236,Kadappatan,2,4
237,Kadayan,2,4
238,Kalali,2,4
239,Kalari Panikkar,2,4
240,Kalavanthula,2,4
241,Kalingi,2,4
242,Kallan,2,4
243,Kallasari,2,4
244,Kalthachan,2,4
245,Kammala,2,4
246,Kammalan,2,4
247,Kannan,2,4
248,Kannian,2,4
249,Karikalabhaktulu,2,4
250,Karnibhakatula,2,4
251,Karuvan,2,4
252,Kavathi,2,4
253,Kelasi,2,4
254,Kharvi,2,4
255,khatri,2,4
256,Khodala,2,4
257,Kidaran,2,4
258,Kitara,2,4
259,Koikulam,2,4
260,Kolaries,2,4
261,Kollan,2,4
262,Kongu Vellala Gounder,2,4
263,Koppalavelams,2,4
264,Korachas,2,4
265,Koteyar,2,4
266,Krishnanvaka,2,4
267,Kudiyan,2,4
268,Kuppam,2,4
269,Kuruba,2,4
270,Labbai,2,4
271,Lambadis,2,4
272,Latin Catholic,1,4
273,LC Nadar,2,4
274,Leather Smith,2,4
275,Madugar,2,4
276,Magaran,2,4
277,Mahendara,2,4
278,Mahratta,2,4
279,Malayal Kammala,2,4
280,Malayaman,2,4
281,Male,2,4
282,Mangala,2,4
283,Maniyanies,2,4
284,Mappila,3,4
285,Marassari,2,4
286,Maravan,2,4
287,Maravar,2,4
288,Maruthuvar,2,4
289,Medara,2,4
290,Medavar,2,4
291,Melakudi,2,4
292,Methan,2,4
293,Modi Benda,2,4
294,Moili,2,4
295,Moniagar,2,4
296,Mooppanar,2,4
297,Moovari,2,4
298,Muduva,2,4
299,Mukhari,2,4
300,Muniyani,2,4
301,Musari,2,4
302,Muslim,3,4
303,Muthali,2,4
304,Muthaliyar,2,4
305,Muthiryyana,2,4
306,Mutracha,2,4
